Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
W043	10.0739	38	2.7937	NA	0.74	7.44	0.45	3.04	1.03	632571.5365	10012514.29	7661657.143	55.11172	13.3008817	Winter	Marine	Hypolimneon	normal
W045	8.3873	25	2.5885	10.85	0.65	10	0.37	3.25	0.59	603943.512	12694628.57	8730228.571	55.1849167	14.4380017	Winter	Marine	Hypolimneon	normal
W046	14.139	42	4.5325	8.86	0.78	17.83	0.23	5.77	0.25	883156.5875	9937714.286	5748914.286	55.1849167	14.4380017	Winter	Marine	Hypolimneon	normal
W047	7.7418	2	2.9645	10.92	0.67	15.86	0.07	2.73	0.75	687431.9348	22108742.86	11615371.43	55.5330717	14.91986	Winter	Mesohaline	Surface	normal
W048	7.7472	30	2.968	10.91	0.67	11.18	0.07	2.9	1.27	685635.1969	21820228.57	12694628.57	55.5330717	14.91986	Winter	Mesohaline	Hypolimneon	normal
W049	7.8607	50	3.2792	10.72	0.65	16.31	0.05	3.22	0.62	704560.8365	20046400	10119371.43	55.5330717	14.91986	Winter	Mesohaline	Hypolimneon	normal
W052	7.7626	2	3.0667	10.94	4.08	10.64	0.06	2.74	1.27	684796.7192	25635028.57	11797028.57	55.5168667	15.5695383	Winter	Mesohaline	Surface	normal
W053	7.8478	45	3.1379	8.46	4.01	9.51	0.07	2.81	1.28	711388.4407	25699142.86	12448857.14	55.5168667	15.5695383	Winter	Mesohaline	Hypolimneon	normal
W055	7.3813	2	2.5518	11.08	0.69	8.08	0.09	1.97	0.1	624426.3245	16648342.86	10162114.29	55.8651617	16.5140833	Winter	Mesohaline	Surface	normal
W056	7.409	25	2.5761	11.02	0.67	10.84	0.08	2.59	0	660840.2134	17599371.43	10268971.43	55.8651617	16.5140833	Winter	Mesohaline	Hypolimneon	normal
W058	7.1706	1	2.5193	11	0.62	29.36	0.14	2.79	0	474698.163	8174571.429	4701714.286	55.8651617	16.5140833	Winter	Mesohaline	Surface	normal
W059	7.1789	30	2.4779	10.98	0.67	29.36	0.16	2.72	0.17	513148.3549	6892285.714	5289428.571	56.3201933	16.950385	Winter	Mesohaline	Hypolimneon	normal
W060	7.1953	51	2.5443	10.86	0.55	29.85	0.15	1.56	1.83	461402.3023	6817485.714	5353542.857	56.3201933	16.950385	Winter	Mesohaline	Hypolimneon	normal
W061	7.1418	1	2.6534	10.91	0.62	7.73	0.13	3.36	0.02	407739.7292	6699942.857	3451485.714	56.7602033	17.3540017	Winter	Mesohaline	Surface	normal
W062	7.1943	53	2.7886	10.82	0.67	8.47	0.12	3.37	0	425707.1086	6742685.714	3707942.857	56.7602033	17.3540017	Winter	Mesohaline	Hypolimneon	normal
W063	9.6479	86	5.1879	NA	3.41	40.89	0.06	0	4.22	2085413.833	4178114.286	1666971.429	56.7602033	17.3540017	Winter	Marine	Hypolimneon	normal
W064	7.0949	1	2.6765	10.88	0.71	14.09	0.08	3.36	0	392168.0005	3569028.571	2575257.143	57.22379	17.5807783	Winter	Mesohaline	Surface	normal
W065	7.1472	50	2.4837	10.9	0.74	14.63	0.09	3.53	0.82	492425.9774	4552114.286	3301885.714	57.22379	17.5807783	Winter	Mesohaline	Hypolimneon	normal
W066	8.4416	74	4.9802	4.11	1.94	32.46	0.01	4.26	0.11	522251.8271	1431885.714	1036514.286	57.22379	17.5807783	Winter	Marine	Hypolimneon	low
